review_id,bank,review_sentiment_mean
1360,axis bank,0.3537401875
1361,axis bank,0.9395182
1362,axis bank,-0.523055863625
1363,axis bank,-0.89887801
1364,axis bank,-0.62230196875
1365,axis bank,-0.7892810600000001
1366,axis bank,0.94679177
1367,axis bank,-0.29687954716666665
1368,axis bank,0.457950708
1369,axis bank,-0.416120220375
1370,axis bank,0.1054432615
1371,axis bank,0.8887049
1372,axis bank,0.4211571296666667
1373,axis bank,-0.46418285
1374,axis bank,-0.15558990571428571
1375,axis bank,0.9651682
1376,axis bank,-0.5214343357142858
1377,axis bank,-0.83238134
1378,axis bank,0.674569633
1379,axis bank,0.16885174769230768
1380,axis bank,-0.4933113014285714
1381,axis bank,-0.9138922
1382,axis bank,-0.5056365833333333
1383,axis bank,-0.91178596
1384,axis bank,-0.8210411914285715
1385,axis bank,-0.8977299000000001
1386,axis bank,-0.36309246666666667
1387,axis bank,-0.45415708
1388,axis bank,-0.55312724
1389,axis bank,-0.514647553
1390,axis bank,-0.61071854625
1391,axis bank,0.23413463333333337
1392,axis bank,-0.4959328646666667
1393,axis bank,0.495235435
1394,axis bank,-0.384885205
1395,axis bank,-0.8886257949999999
1396,axis bank,-0.6673765517
1397,axis bank,0.00230134999999998
1398,axis bank,-0.94549775
1399,axis bank,-0.5823156126666666
1400,axis bank,-0.7034612481818182
1401,axis bank,-0.2776652047
1402,axis bank,-0.8162085
1403,axis bank,-0.788211665
1404,axis bank,-0.29254451025
1405,axis bank,-0.46306749666666663
1406,axis bank,0.0452402707142857
1407,axis bank,-0.513403915
1408,axis bank,-0.6986051833333334
1409,axis bank,-0.6092214766666667
1410,axis bank,-0.5003753019999999
1411,axis bank,-0.7442097320000001
1412,axis bank,-0.9228837
1413,axis bank,0.2904820775
1414,axis bank,-0.5140757060000001
1415,axis bank,-0.6473272
1416,axis bank,-0.92934656
1417,axis bank,-0.7218838666666666
1418,axis bank,0.6448311099999999
1419,axis bank,-0.45679231600000003
1420,axis bank,-0.936316
1421,axis bank,-0.93378877
1422,axis bank,-0.8471217
1423,axis bank,-0.8982916233333333
1424,axis bank,-0.88551528
1425,axis bank,-0.9065464333333333
1426,axis bank,-0.22764830668750002
1427,axis bank,0.102138646
1428,axis bank,-0.92622364
1429,axis bank,-0.9326626
1430,axis bank,-0.91775066
1431,axis bank,-0.5557812466666666
1432,axis bank,-0.8824534500000001
1433,axis bank,-0.5860967638333333
1434,axis bank,0.0889050836
1435,axis bank,-0.73106289
1436,axis bank,-0.7686685833333332
1437,axis bank,-0.43881734669999994
1438,axis bank,-0.9082740499999999
1439,axis bank,-0.40994738333333336
1440,axis bank,-0.8593202
1441,axis bank,-0.93546754
1442,axis bank,-0.87598664
1443,axis bank,-0.908641725
